Username,Comment
@aakanshaverma9834,"This like is only for not ur type, 😑not for Netflix."
@JilimaBegum-sb2yv,Mai hu
@spinny1k,Hp☺️
@TPB_64_BOYS,I love your video and voice 😍
@monkey-z5o-d6j,Dil khush kar diya
@sharadkhambete3680,Apun ke alaawa kon dekh raha 2025 me?
@malikshab-o9f,
@ElahaAnsari,Bro his soundd😂😂😂😂😂 RESPECT FOR THIS LEGEND
@pankajchamoli9055,Mujko kyu toda😓
@MAX777-l9,😂😂😂😂😅✅👍👍
@AbuTalebTalha-j7f,😂
@Piroxsahil,0:18 😂
@Wait166,😅Op
@AliaSingh-x1v,Kya suru me gaali deke bad me kehte h pure veg or Hari vari h 😂😂😂😂😂😂😂😂😂😂😂
@ShashikantKumar-t1r,Password 101😅😅😂😂😂😂
@tech_nara,Xxx
@suryabhanujit2090,😂😂😂
@beyhanshsabinkar1036,That Minecraft TNT sound
@rishisharma14041,😂😂
@obsidian_oracle-JM,not your type  ki video bari der baad ati ha
@kapiltiwari1614,6:08
@kapiltiwari1614,5:11
@raulmalhotra3287,😂
@subhrajit898,Kaun aya hai 2030 se dekhne
@RUDRA_x_FF,ICIC ❌ YCYC ☑️
@navdeepVibes,This video is a copy of a film thunivu
@MalikShah-p7h,ap kahen to aapke
@prime_luffy44,iss video ke aath khana hua pura aab milte h syaam ko old video ke sath❤🤣
@prime_luffy44,bhai aap video chhoti bnate ho 😂 koi ma vese shi h😁
@prime_luffy44,abhi ye dekh rha hu 👋
@ayushsharma1392,love from chattisgarh 😅❤
@lost_boy_journey7614,Tu bhi mujhe bhid main maar raha tha 😂😂😂
@AnandaSarkar-bt5co,hii
@SKumar-og3dz,Bhople😂😂😂
@ShyamchandPandit,Yes❤❤
@Ultra-ViralShorts,Nice me in 2025
@DiyaSisodiya-u9j,😂😂😂😂
@AtindraPatel-w9j,SUPER HERO GAME 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢
@HannahZoya,Well not your type video always have a great moral❤❤❤😂😂😂😂😊
@Sk_God999,Rip off
@saifshekh2399,Bhai esa khata smay dat dut gya
@KILLSWIT,Why always bhopal bhaiya?? Bhopal se ho ap
@patel_srakar,😂😂😂😂😂😂😂
@Brainbooster2.O-h2g,Ha
@AnilHealpsBlogs,Password to likha hi nehi kese pata chalega😂😂😂
@Lifeisistruggle,Tempu se bank lutne ja rhe hai 😂😂😂😂😂😂
@parnaghosal6159,😍😍😍😍 Ayesa chochte ho keyse tum Vai?? 🙏🏻🙏🏻🙏🏻🙏🏻
@YrNetam,He iswar😂😂😂
@veerendra-u6m,Jai adiwasi jai chattisgarh
@Md.Zahid.Hasan.34,4:15
@alikhan-oj3ht,Who's watching in 2026
@phptutorial3663,😂😂😂
@AnonymousLegion-kh6ln,😂😂🤣🤣🤣🤣🤣❤❤❤❤💯💯💯🙏🙏😊🌹🌹✅✅🔰🔰
@saadkhan-tc1xx,G
@himansubaladas8280,2:15 😂😂😂fav❤😂😂
@AnilHealpsBlogs,Abe year ye gadhe kya gunda banenge 😂😂😂😂
@ShivamSing-h5c,Trafik ja miya 😅😢
@purushottammarathi5998,Me hu 2025 me
@yuvrajff5256,1:57 Chhattisgarh on top 💀
@Pinku_Borah_Jr,Processor Mast Hai😅😅😂😂😂
@vkingboygamer2537,OP 😅😊
@Black-ft6uc,1:18 Processor 😂😂😂😂😂
@irfanbaba809,2:16
@RamotarKalam-n2p,3:19 😂😂
@Satyasingrajput-x3r,Very good 😂😂😂😂
@the_sweeter_weather,1:58 chhatisgarh 😎🤣🤣
@justenjoy9016,Good 😂
@YOUR_ASHU,Koi hai 2025 se 🎉😂❤❤
@lanuimsong8552,Your voice  is so funny  broo
@MONKEY_SHOTS_TV,YCYC Bank
